rank,precision,recall
339,0.7569182102194691,0.842168304941551
340,0.7562538013728376,0.8432766119782165
341,0.7555932893522825,0.8443849190148782
342,0.7549366399751216,0.8454932260515353
343,0.7542838194573069,0.8466015330881975
344,0.7534501562983056,0.8475246637120325
345,0.752621325969215,0.8484477943358634
346,0.7517972865668844,0.8493709249596944
347,0.7509779966712,0.8502940555835248
348,0.7501634153381213,0.851217186207356
349,0.7493535020929167,0.8521403168311864
350,0.7485482169233978,0.8530634474550173
351,0.7477475202733647,0.853986578078844
352,0.7469513730361286,0.8549097087026746
353,0.7461597365480946,0.8558328393265057
354,0.7453725725825898,0.8567559699503361
355,0.7445898433436697,0.857679100574167
356,0.7438115114600121,0.8586022311979977
357,0.7430375399790703,0.8595253618218283
358,0.742267892361141,0.8604484924456571
359,0.7415025324736793,0.8613716230694837
360,0.7407414245855937,0.8622947536933144
361,0.7399845333617048,0.8632178843171454
362,0.7392318238572863,0.8641410149409757
363,0.7384832615126695,0.865064145564807
364,0.7377388121479747,0.8659872761886376
365,0.7369984419578738,0.8669104068124686
366,0.7362621175065149,0.8678335374362994
367,0.7355298057224696,0.8687566680601299
368,0.7348014738937779,0.8696797986839568
369,0.7340770896630691,0.8706029293077875
370,0.7333566210228015,0.8715260599316184
371,0.7326400363104902,0.8724491905554486
372,0.731927304204187,0.8733723211792837
373,0.7312183937177494,0.874295451803115
374,0.7305132741964706,0.8752185824269454
375,0.7298119153126552,0.8761417130507763
376,0.7291142870611977,0.8770648436746071
377,0.7284203597553568,0.8779879742984336
378,0.7277301040225653,0.8789111049222648
379,0.7270434908002561,0.8798342355460952
380,0.7263604913317262,0.8807573661699261
381,0.7256810771622535,0.881680496793757
382,0.7250052201350311,0.8826036274175876
383,0.7243328923873262,0.8835267580414187
384,0.7236640663466255,0.8844498886652491
385,0.7229987147269289,0.885373019289076
386,0.7223368105249475,0.8862961499129068
387,0.721678327016517,0.8872192805367375
388,0.7210232377529752,0.8881424111605685
389,0.7203715165576239,0.8890655417843969
390,0.7195394462750432,0.8898045089470159
391,0.7187116321064377,0.8905434761096365
392,0.7178880414795202,0.8912824432722568
393,0.717068642153493,0.8920214104348776
394,0.7162534022149084,0.8927603775974977
395,0.7154422900734834,0.8934993447601183
396,0.7146352744580187,0.894238311922739
397,0.7138323244124146,0.8949772790853591
398,0.7130334092916567,0.8957162462479799
399,0.7122384987579772,0.8964552134106046
400,0.7114475627769568,0.8971941805732253
401,0.710660571613801,0.8979331477358459
402,0.709877495829562,0.898672114898466
403,0.7090983062775059,0.8994110820610868
404,0.7083229740994744,0.9001500492237069
405,0.7075514707223187,0.9008890163863251
406,0.7067837678544053,0.9016279835489452
407,0.706019837482168,0.9023669507115654
408,0.7052596518666612,0.9031059178741861
409,0.7045031835402127,0.9038448850368063
410,0.7037504053031742,0.9045838521994269
411,0.7030012902205549,0.9053228193620476
412,0.7022558116189352,0.9060617865246675
413,0.7015139430831737,0.9068007536872885
414,0.7007756584533971,0.9075397208499084
415,0.7000409318218137,0.9082786880125291
416,0.6993097375298336,0.9090176551751497
417,0.6985820501649042,0.9097566223377698
418,0.6978578445576809,0.9104955895003906
419,0.6971370957791508,0.9112345566630107
420,0.6964197791376525,0.9119735238256313
421,0.6957058701761676,0.9127124909882508
422,0.6949953446694692,0.9134514581508709
423,0.6942881786214414,0.9141904253134917
424,0.6935843482623233,0.9149293924761118
425,0.6928838300460425,0.9156683596387324
426,0.6921866006476968,0.9164073268013531
427,0.6914926369608323,0.9171462939639777
428,0.6908019160949237,0.9178852611265986
429,0.6901144153729092,0.9186242282892186
430,0.6894301123286778,0.9193631954518394
431,0.6887489847045951,0.92010216261446
432,0.6880710104491531,0.92084112977708
433,0.6873961677145146,0.9215800969397009
434,0.6867244348542304,0.9223190641023209
435,0.6860557904208924,0.9230580312649415
436,0.6853902131638521,0.9237969984275621
437,0.684727682026981,0.9245359655901823
438,0.684068176146449,0.925274932752803
439,0.6834116748485003,0.9260138999154232
440,0.6827581576473757,0.9267528670780437
441,0.6819233848142924,0.9273071961313588
442,0.6810923892338511,0.9278615251846729
